season_label,season,player,nation,age,pos,pos_primary,squad,Matches Played,Minutes_total,market_value_in_eur,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Crosses Stopped
2021-22,2021-2022,Martin Dúbravka,Slovakia,32,GK,GK,Newcastle Utd,26,2340,4000000.0,35,1.35,72,67.9,8,30.8,0.0,6.1
2021-22,2021-2022,Ederson,Brazil,27,GK,GK,Manchester City,37,3330,50000000.0,26,0.7,57,69.9,20,54.1,0.0,7.0
2021-22,2021-2022,Álvaro Fernández,Spain,23,GK,GK,Brentford,12,1080,4000000.0,24,2.0,47,66.7,1,8.3,0.0,4.6
2021-22,2021-2022,Fraser Forster,England,33,GK,GK,Southampton,19,1710,3000000.0,35,1.84,68,67.3,3,15.8,0.0,6.7
2021-22,2021-2022,Ben Foster,England,38,GK,GK,Watford,26,2340,300000.0,49,1.88,67,60.3,4,15.4,25.0,4.4
2021-22,2021-2022,David de Gea,Spain,30,GK,GK,Manchester Utd,38,3420,15000000.0,57,1.5,124,70.0,8,21.1,40.0,1.5
2021-22,2021-2022,Vicente Guaita,Spain,34,GK,GK,Crystal Palace,30,2655,1500000.0,33,1.12,83,74.1,11,36.7,0.0,4.4
2021-22,2021-2022,Tim Krul,Netherlands,33,GK,GK,Norwich City,29,2610,2000000.0,62,2.14,105,66.7,5,17.2,0.0,3.2
2021-22,2021-2022,Hugo Lloris,France,34,GK,GK,Tottenham,38,3420,7000000.0,40,1.05,98,72.3,16,42.1,0.0,5.8
2021-22,2021-2022,Emiliano Martínez,Argentina,28,GK,GK,Aston Villa,36,3240,30000000.0,48,1.33,93,68.6,11,30.6,20.0,7.2
2021-22,2021-2022,Alex McCarthy,England,31,GK,GK,Southampton,17,1530,3500000.0,27,1.59,44,62.0,5,29.4,0.0,8.6
2021-22,2021-2022,Edouard Mendy,Senegal,29,GK,GK,Chelsea,34,3060,32000000.0,31,0.91,72,75.5,14,41.2,0.0,7.5
2021-22,2021-2022,Illan Meslier,France,21,GK,GK,Leeds United,38,3384,22000000.0,79,2.1,142,66.4,5,13.2,0.0,5.3
2021-22,2021-2022,Jordan Pickford,England,27,GK,GK,Everton,35,3150,28000000.0,58,1.66,116,66.5,7,20.0,0.0,4.4
2021-22,2021-2022,Nick Pope,England,29,GK,GK,Burnley,36,3240,18000000.0,47,1.31,119,74.5,9,25.0,0.0,7.6
2021-22,2021-2022,Aaron Ramsdale,England,23,GK,GK,Arsenal,34,3060,30000000.0,39,1.15,90,73.4,12,35.3,0.0,6.3
2021-22,2021-2022,David Raya,Spain,25,GK,GK,Brentford,24,2160,22000000.0,27,1.13,76,77.7,8,33.3,0.0,6.7
2021-22,2021-2022,José Sá,Portugal,28,GK,GK,Wolves,37,3285,18000000.0,40,1.1,121,80.6,11,29.7,0.0,7.8
2021-22,2021-2022,Robert Sánchez,Spain,23,GK,GK,Brighton,37,3329,32000000.0,42,1.14,99,72.3,11,29.7,0.0,11.6
2021-22,2021-2022,Kasper Schmeichel,Denmark,34,GK,GK,Leicester City,37,3330,2500000.0,58,1.57,128,72.7,7,18.9,22.2,2.8
2022-23,2022-2023,Alisson,Brazil,29,GK,GK,Liverpool,37,3330,50000000.0,43,1.16,105,72.1,14,37.8,33.3,5.8
2022-23,2022-2023,Gavin Bazunu,Ireland,20,GK,GK,Southampton,32,2880,18000000.0,56,1.75,67,54.2,4,12.5,50.0,7.9
2022-23,2022-2023,Vicente Guaita,Spain,35,GK,GK,Crystal Palace,27,2430,1500000.0,34,1.26,84,72.4,6,22.2,0.0,6.3
2022-23,2022-2023,Dean Henderson,England,25,GK,GK,Nott'ham Forest,18,1620,22000000.0,31,1.72,52,65.9,6,33.3,50.0,6.9
2022-23,2022-2023,Daniel Iversen,Denmark,25,GK,GK,Leicester City,12,1080,5000000.0,22,1.83,38,66.1,1,8.3,0.0,7.9
2022-23,2022-2023,Hugo Lloris,France,35,GK,GK,Tottenham,25,2205,7000000.0,39,1.59,79,67.5,7,28.0,0.0,6.2
2022-23,2022-2023,Emiliano Martínez,Argentina,29,GK,GK,Aston Villa,36,3139,4000000.0,38,1.09,97,74.2,11,30.6,20.0,12.4
2022-23,2022-2023,Keylor Navas,Costa Rica,35,GK,GK,Nott'ham Forest,17,1529,6000000.0,32,1.88,51,66.3,1,5.9,0.0,4.7
2022-23,2022-2023,Neto,Brazil,33,GK,GK,Bournemouth,27,2385,2500000.0,39,1.47,100,74.6,6,22.2,0.0,6.9
2022-23,2022-2023,José Sá,Portugal,29,GK,GK,Wolves,36,3240,700000.0,55,1.53,105,67.1,11,30.6,50.0,8.0
2022-23,2022-2023,Danny Ward,Wales,29,GK,GK,Leicester City,26,2340,8000000.0,46,1.77,75,63.0,6,23.1,33.3,5.6
2023-24,2023-2024,Alisson,Brazil,30,GK,GK,Liverpool,28,2520,32000000.0,30,1.07,80,73.4,8,28.6,0.0,4.3
2023-24,2023-2024,Alphonse Areola,France,30,GK,GK,West Ham,31,2699,10000000.0,53,1.77,136,74.5,4,12.9,28.6,5.8
2023-24,2023-2024,Mark Flekken,Netherlands,30,GK,GK,Brentford,37,3285,12000000.0,63,1.73,113,65.3,7,18.9,0.0,7.7
2023-24,2023-2024,Wes Foderingham,England,32,GK,GK,Sheffield Utd,30,2649,900000.0,79,2.68,130,63.7,1,3.4,0.0,6.0
2023-24,2023-2024,Dean Henderson,England,26,GK,GK,Crystal Palace,18,1620,12000000.0,30,1.67,57,66.3,4,22.2,0.0,2.0
2023-24,2023-2024,Sam Johnstone,England,30,GK,GK,Crystal Palace,20,1796,10000000.0,27,1.35,41,62.7,6,30.0,0.0,7.1
2023-24,2023-2024,Thomas Kaminski,Belgium,30,GK,GK,Luton Town,38,3405,3000000.0,85,2.25,140,63.3,2,5.3,0.0,2.9
2023-24,2023-2024,Caoimhín Kelleher,Ireland,24,GK,GK,Liverpool,10,900,20000000.0,11,1.1,28,71.1,2,20.0,0.0,6.5
2023-24,2023-2024,Emiliano Martínez,Argentina,30,GK,GK,Aston Villa,34,3015,4000000.0,48,1.43,95,66.2,8,23.5,0.0,12.1
2023-24,2023-2024,Neto,Brazil,34,GK,GK,Bournemouth,32,2880,2500000.0,55,1.72,110,69.7,7,21.9,16.7,6.3
2023-24,2023-2024,André Onana,Cameroon,27,GK,GK,Manchester Utd,38,3420,40000000.0,58,1.53,146,74.9,9,23.7,0.0,7.0
2023-24,2023-2024,David Raya,Spain,27,GK,GK,Arsenal,32,2880,32000000.0,24,0.75,45,68.1,16,50.0,33.3,12.2
2023-24,2023-2024,José Sá,Portugal,30,GK,GK,Wolves,35,3037,10000000.0,58,1.72,131,73.4,4,11.4,0.0,8.6
2023-24,2023-2024,Robert Sánchez,Spain,25,GK,GK,Chelsea,16,1433,28000000.0,25,1.57,52,70.5,3,18.8,33.3,9.4
2023-24,2023-2024,James Trafford,England,20,GK,GK,Burnley,28,2520,15000000.0,62,2.21,106,65.7,2,7.1,0.0,7.2
2023-24,2023-2024,Matt Turner,United States,29,GK,GK,Nott'ham Forest,17,1530,10000000.0,28,1.65,52,67.5,2,11.8,0.0,10.1
2023-24,2023-2024,Bart Verbruggen,Netherlands,20,GK,GK,Brighton,21,1890,22000000.0,28,1.33,63,72.5,4,19.0,0.0,7.3
2023-24,2023-2024,Guglielmo Vicario,Italy,26,GK,GK,Tottenham,38,3420,20000000.0,61,1.61,109,67.7,7,18.4,0.0,6.5
