season_label,season,player,nation,age,pos,pos_primary,squad,Matches Played,Minutes_total,market_value_in_eur,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Total Shots,% Shots on target,Shots p 90,Goals p 90,Assists p 90,Goals per shot,Goals per shot on target,Progressive Carries,Progressive Passes,Key passes,1/3,Passes into penalty area,Shot creating actions p 90,Goal creating actions p 90,Possessions lost,Errors made
2023-24,2023-2024,Darwin Núñez,Uruguay,24,FW,FW,Liverpool,36,2047,70000000.0,11,8,19,11,0,16.3,15.5,107,43.0,2.02,0.48,0.35,0.1,0.24,58,54,33,23,26,3.47,0.62,29,0
2023-24,2023-2024,Michael Olise,France,21,FW,FW,Crystal Palace,19,1275,50000000.0,10,6,16,9,1,5.5,4.7,56,35.7,1.41,0.71,0.42,0.16,0.45,68,78,36,43,34,5.79,0.99,33,0
2023-24,2023-2024,Cole Palmer,England,21,FW,FW,Chelsea,33,2607,90000000.0,22,11,33,13,9,18.2,11.1,100,37.0,1.28,0.76,0.38,0.13,0.35,117,197,72,136,69,5.59,0.9,44,2
2023-24,2023-2024,Lucas Paquetá,Brazil,25,FW,FW,West Ham,31,2622,65000000.0,4,6,10,2,2,5.4,3.8,40,20.0,0.27,0.14,0.21,0.05,0.25,34,187,43,143,50,3.26,0.55,81,2
2023-24,2023-2024,Marcus Rashford,England,25,FW,FW,Manchester Utd,33,2271,75000000.0,7,2,9,5,2,7.4,5.8,60,31.7,0.75,0.28,0.08,0.08,0.26,95,65,23,34,30,3.45,0.48,38,0
2023-24,2023-2024,Richarlison,Brazil,26,FW,FW,Tottenham,28,1491,40000000.0,11,4,15,11,0,9.6,9.6,62,40.3,1.51,0.66,0.24,0.18,0.44,26,38,15,21,13,2.05,0.3,40,0
2023-24,2023-2024,Jeffrey Schlupp,Ghana,30,FW,FW,Crystal Palace,29,1352,7000000.0,2,2,4,2,0,1.8,1.8,19,57.9,0.73,0.13,0.13,0.11,0.18,20,33,19,17,9,1.86,0.2,23,0
2023-24,2023-2024,Antoine Semenyo,Ghana,23,FW,FW,Bournemouth,33,2105,20000000.0,8,2,10,8,0,4.6,4.6,70,42.9,1.28,0.34,0.09,0.11,0.27,89,64,29,28,28,3.08,0.3,53,0
2023-24,2023-2024,Dominic Solanke,England,25,FW,FW,Bournemouth,38,3325,45000000.0,19,3,22,17,2,19.6,17.2,106,33.0,0.95,0.51,0.08,0.16,0.49,52,60,39,32,24,2.14,0.16,81,0
2023-24,2023-2024,Raheem Sterling,England,28,FW,FW,Chelsea,31,1978,50000000.0,8,4,12,8,0,6.5,6.5,51,41.2,0.96,0.36,0.18,0.16,0.38,120,78,30,31,35,3.87,0.64,44,1
2023-24,2023-2024,Ivan Toney,England,27,FW,FW,Brentford,17,1450,50000000.0,4,2,6,4,0,6.0,6.0,51,41.2,1.3,0.25,0.12,0.08,0.19,23,40,12,20,18,2.42,0.37,17,0
2023-24,2023-2024,Leandro Trossard,Belgium,28,FW,FW,Arsenal,34,1649,38000000.0,12,1,13,12,0,7.9,7.9,60,36.7,1.2,0.65,0.05,0.2,0.55,66,76,24,28,29,3.55,0.33,39,0
2023-24,2023-2024,Ollie Watkins,England,27,FW,FW,Aston Villa,37,3217,55000000.0,19,13,32,19,0,16.8,16.8,107,43.9,1.31,0.53,0.36,0.18,0.4,62,55,45,23,22,2.8,0.73,57,0
2023-24,2023-2024,Willian,Brazil,34,FW,FW,Fulham,31,2053,3000000.0,4,2,6,2,2,5.1,3.6,43,37.2,0.7,0.18,0.09,0.05,0.13,92,153,44,59,69,4.87,0.44,26,1
